run,model,data_spec,prior_spec,constraint_spec,competition_measurement_frequency,restriction,unit,prior_mean,prior_sd,sddr_bf01
ces_inv_markup_baseline_20260702_071118,ces,inv_markup,baseline,unrestricted,quarterly_interpolated,kappa=0,inflation points per x point,0.1,0.2,1.8721230398371722
ces_inv_markup_baseline_20260702_134314,ces,inv_markup,baseline,unrestricted,quarterly_interpolated,kappa=0,inflation points per x point,0.1,0.2,1.8721230398371722
ces_inv_markup_full_baseline_20260623_014846,ces,inv_markup_full,baseline,unrestricted,quarterly_interpolated,kappa=0,inflation points per x point,0.1,0.2,1.8721230398371722
hsa_dynamic_inv_markup_baseline_20260702_071133,hsa_dynamic,inv_markup,baseline,unrestricted,quarterly_interpolated,kappa=0,inflation points per x point,0.1,0.2,1.9843808733481154
hsa_dynamic_inv_markup_baseline_20260702_071133,hsa_dynamic,inv_markup,baseline,unrestricted,quarterly_interpolated,theta=0,inflation effect per +10 log-point Nhat deviation,0.1,0.2,0.8619288396501347
hsa_dynamic_inv_markup_baseline_20260702_134953,hsa_dynamic,inv_markup,baseline,unrestricted,quarterly_interpolated,kappa=0,inflation points per x point,0.1,0.2,1.9843808733481154
hsa_dynamic_inv_markup_baseline_20260702_134953,hsa_dynamic,inv_markup,baseline,unrestricted,quarterly_interpolated,theta=0,inflation effect per +10 log-point Nhat deviation,0.1,0.2,0.8619288396501347
hsa_dynamic_inv_markup_full_baseline_20260623_020507,hsa_dynamic,inv_markup_full,baseline,unrestricted,quarterly_interpolated,kappa=0,inflation points per x point,0.1,0.2,1.8765533736694378
hsa_dynamic_inv_markup_full_baseline_20260623_020507,hsa_dynamic,inv_markup_full,baseline,unrestricted,quarterly_interpolated,theta=0,inflation effect per +10 log-point Nhat deviation,0.1,0.2,0.34599606326784715
hsa_full_inv_markup_baseline_20260702_071116,hsa_full,inv_markup,baseline,unrestricted,quarterly_interpolated,kappa_0=0,inflation points per x point at average Nbar,0.1,0.2,2.0250260662054407
hsa_full_inv_markup_baseline_20260702_071116,hsa_full,inv_markup,baseline,unrestricted,quarterly_interpolated,delta=0,change in kappa_t per +10 log-point Nbar deviation,0.0,0.02,1.0140376322269746
hsa_full_inv_markup_baseline_20260702_071116,hsa_full,inv_markup,baseline,unrestricted,quarterly_interpolated,theta_0=0,inflation effect per +10 log-point Nhat deviation at average Nbar,0.1,0.2,3.4699110941947136
hsa_full_inv_markup_baseline_20260702_071116,hsa_full,inv_markup,baseline,unrestricted,quarterly_interpolated,gamma=0,change in theta_t per +10 log-point Nbar deviation,0.0,0.02,0.3815784032419425
hsa_full_inv_markup_baseline_20260702_135640,hsa_full,inv_markup,baseline,unrestricted,quarterly_interpolated,kappa_0=0,inflation points per x point at average Nbar,0.1,0.2,2.0250260662054407
hsa_full_inv_markup_baseline_20260702_135640,hsa_full,inv_markup,baseline,unrestricted,quarterly_interpolated,delta=0,change in kappa_t per +10 log-point Nbar deviation,0.0,0.02,1.0140376322269746
hsa_full_inv_markup_baseline_20260702_135640,hsa_full,inv_markup,baseline,unrestricted,quarterly_interpolated,theta_0=0,inflation effect per +10 log-point Nhat deviation at average Nbar,0.1,0.2,3.4699110941947136
hsa_full_inv_markup_baseline_20260702_135640,hsa_full,inv_markup,baseline,unrestricted,quarterly_interpolated,gamma=0,change in theta_t per +10 log-point Nbar deviation,0.0,0.02,0.3815784032419425
hsa_full_inv_markup_full_baseline_20260623_022157,hsa_full,inv_markup_full,baseline,unrestricted,quarterly_interpolated,kappa_0=0,inflation points per x point at average Nbar,0.1,0.2,1.7586531346691845
hsa_full_inv_markup_full_baseline_20260623_022157,hsa_full,inv_markup_full,baseline,unrestricted,quarterly_interpolated,delta=0,change in kappa_t per +10 log-point Nbar deviation,0.0,0.02,0.9923413446986392
hsa_full_inv_markup_full_baseline_20260623_022157,hsa_full,inv_markup_full,baseline,unrestricted,quarterly_interpolated,theta_0=0,inflation effect per +10 log-point Nhat deviation at average Nbar,0.1,0.2,0.45489937623401727
hsa_full_inv_markup_full_baseline_20260623_022157,hsa_full,inv_markup_full,baseline,unrestricted,quarterly_interpolated,gamma=0,change in theta_t per +10 log-point Nbar deviation,0.0,0.02,0.9570727022414801
hsa_steady_inv_markup_baseline_20260702_071114,hsa_steady,inv_markup,baseline,unrestricted,quarterly_interpolated,kappa_0=0,inflation points per x point at average Nbar,0.1,0.2,1.9305305024084816
hsa_steady_inv_markup_baseline_20260702_071114,hsa_steady,inv_markup,baseline,unrestricted,quarterly_interpolated,delta=0,change in kappa_t per +10 log-point Nbar deviation,0.0,0.02,1.025591982110813
hsa_steady_inv_markup_baseline_20260702_134318,hsa_steady,inv_markup,baseline,unrestricted,quarterly_interpolated,kappa_0=0,inflation points per x point at average Nbar,0.1,0.2,1.9305305024084816
hsa_steady_inv_markup_baseline_20260702_134318,hsa_steady,inv_markup,baseline,unrestricted,quarterly_interpolated,delta=0,change in kappa_t per +10 log-point Nbar deviation,0.0,0.02,1.025591982110813
hsa_steady_inv_markup_full_baseline_20260623_014854,hsa_steady,inv_markup_full,baseline,unrestricted,quarterly_interpolated,kappa_0=0,inflation points per x point at average Nbar,0.1,0.2,1.9877801514442672
hsa_steady_inv_markup_full_baseline_20260623_014854,hsa_steady,inv_markup_full,baseline,unrestricted,quarterly_interpolated,delta=0,change in kappa_t per +10 log-point Nbar deviation,0.0,0.02,1.00407100352763
